epoch,lr,epoch_time_sec,gpu_memory_mb,train_loss,val_loss,train_Accuracy,train_Precision,train_Recall,train_Macro F1,train_Weighted F1,train_ROC AUC,val_Accuracy,val_Precision,val_Recall,val_Macro F1,val_Weighted F1,val_ROC AUC
1,0.0002999259840548597,14.630285024642944,,1.3924311421213358,1.2804481983184814,0.3544285714285714,0.2905459801697799,0.30559506707012896,0.26897181551610183,0.40070305887572877,0.5784994403538182,0.48993333333333333,0.3215990687051135,0.38482481648120875,0.291646519713262,0.4950019796104602,0.6687242803771125
2,0.0002997040092642407,11.926612854003906,,1.3032720972151652,1.2627248359938799,0.4706142857142857,0.3288020574317343,0.37199508306793955,0.3228450327499356,0.4967598960697369,0.6505851666513784,0.5226666666666666,0.32666601438452464,0.3960967574281492,0.27685796545541824,0.5017486726833739,0.6820919423887056
3,0.000299334294690462,11.96912407875061,,1.2831396778134534,1.2566776174609944,0.48984285714285714,0.3350420157883787,0.38359774178997313,0.3263855334458363,0.5096030841139193,0.6650230492700797,0.5317333333333333,0.3142788220823492,0.3997395899249583,0.26629206028198577,0.49890708433678344,0.693409735387113
4,0.0002988172051971717,12.006335973739624,,1.2674542835159024,1.247902363033618,0.4969142857142857,0.34167863689513917,0.3936487760840154,0.3320642071749039,0.5151846064587822,0.6787062933522564,0.5215333333333333,0.3403794600149774,0.4026786967132301,0.32409850592508943,0.5251046975317631,0.7103153934796023
5,0.00029815325108927063,11.730297088623047,,1.2600268273457993,1.2406007031262931,0.49538571428571426,0.3414528249079778,0.3952733443445472,0.33100751508116505,0.5147325686485102,0.6878237022758158,0.5256666666666666,0.32963745159913305,0.4007071711521327,0.3111136033308344,0.5201249875424427,0.7092734121318096
6,0.00029734308760930326,12.106340169906616,,1.254994602969093,1.2417975563113972,0.49944285714285713,0.3384147764284172,0.3960341227447647,0.3292242042468668,0.5155729945824141,0.6899857120946431,0.5199333333333334,0.3340854818179205,0.4075471088520445,0.31339499517076186,0.5201877469227039,0.7091071601293265
7,0.00029638751429081204,12.078972816467285,,1.2510229805960273,1.2418586682465116,0.4945857142857143,0.33769055627316935,0.39783718312656874,0.32727704790544926,0.5130329162669173,0.6928731404602918,0.549,0.3358282895350658,0.4037741655209688,0.28211992869996183,0.5124771039616615,0.7101895334160688
8,0.0002952874741692946,11.96589183807373,,1.2469739940044653,1.2419803465827037,0.504,0.33935944629645365,0.40301276135091213,0.32811348131600626,0.5172688418347958,0.6962274210606796,0.549,0.3186698722877472,0.40159522406617076,0.2776280976137392,0.5096638563171706,0.711562031236362
9,0.00029404405285154137,12.773300886154175,,1.2444273677185504,1.2372385627132352,0.5038142857142857,0.3407223122449254,0.40379827901510196,0.3299876705405153,0.5178509848962317,0.6978645806166417,0.5362666666666667,0.33182877200556676,0.4064775371319728,0.2976909160969701,0.5165529162143807,0.7077729376699623
10,0.0002926584774442729,12.298877000808716,,1.2436001983872296,1.2397977154133684,0.5049571428571429,0.33900679175511134,0.40483101033137764,0.32706156250832275,0.5173909417417357,0.6994445821913038,0.5398,0.32951732419285973,0.4045930390797797,0.29131570116318645,0.5153893547632546,0.7109342159376546
11,0.00029113211534313374,11.843064069747925,,1.2417890377288316,1.2395258333723425,0.5071285714285715,0.34267245851865497,0.4057081015858586,0.3328784579024976,0.5209755753709332,0.701295031458181,0.5332666666666667,0.326843343610748,0.40802456110813123,0.2867376525515013,0.5127273690829948,0.7118079754801565
12,0.0002894664728832376,11.815220832824707,,1.2397385087326496,1.2358244596901586,0.51,0.3414088883256989,0.40760927023467264,0.32597078625184517,0.519963471707204,0.7025302673672279,0.5326,0.33578953104632236,0.40647309821226313,0.3111917413414352,0.5227731502824523,0.7120197888930142
13,0.0002876631938525971,11.771459817886353,,1.2374960079680395,1.2333957946906655,0.5110857142857143,0.3432379878737405,0.41042185459071123,0.3298502087746512,0.5217903521508283,0.7031353190196348,0.5350666666666667,0.33179214273624746,0.4066139282321408,0.30445772421439216,0.5213704182904924,0.7135850568615335
14,0.0002857240578699029,11.89447808265686,,1.2363296956041434,1.2371269504902727,0.5100428571428571,0.3420529915970575,0.4087780716680497,0.332243736944549,0.5217398750399711,0.7038886999087111,0.5389333333333334,0.33280753090102627,0.40530257169056444,0.2921003293184243,0.5154017168682296,0.7101996871126173
